DatasetID,CommitId,tentative_type,status,hub,renamed_to,evidence_file
bhaskars113/113-go-emotions-merge,b02e66d064b68624e3b0d65125b730c8e3fb90c2,merge,archived,reachable (HTTP 200),,bhaskars113__113-go-emotions-merge__b02e66d064.txt
JailbreakBench/JBB-Behaviors,d72ab3e281eca79247dbeee237dcb5a74cfa3f9b,column/field add-remove,archived,reachable (HTTP 200),,JailbreakBench__JBB-Behaviors__d72ab3e281.txt
JailbreakBench/JBB-Behaviors,0736bf82289c5fdd5128e92312eacdbeec7b9ccb,column/field add-remove,archived,reachable (HTTP 200),,JailbreakBench__JBB-Behaviors__0736bf8228.txt
oskarvanderwal/SHADR,4ebe169a598712868e5bc01c77c8b5c83bce9795,column/field add-remove,archived,reachable (HTTP 200),,oskarvanderwal__SHADR__4ebe169a59.txt
oskarvanderwal/SHADR,c8416e08c885a9be742d1b441165ec64e95bc99e,column/field add-remove,archived,reachable (HTTP 200),,oskarvanderwal__SHADR__c8416e08c8.txt
copenlu/llm-pct-tropes,a2bfe6b1c1936521c5e6cf17faf4d9424d5ddbac,column/field add-remove,archived,reachable (HTTP 200),,copenlu__llm-pct-tropes__a2bfe6b1c1.txt
copenlu/llm-pct-tropes,2d0af7b1f67c9d04bcd9dd8126ff1614dc93654c,column/field add-remove,archived,reachable (HTTP 200),,copenlu__llm-pct-tropes__2d0af7b1f6.txt
KuzonFyre/world_factbook,293e116269059da0c7101155fbb99d936189470e,cleaning,archived,reachable (HTTP 200),,KuzonFyre__world_factbook__293e116269.txt
redmojo7/Linux_Abnormality_v2,e19706371a31175e1b79827e7b3a1e7ad5731886,normalize/standardize/encode,archived,reachable (HTTP 200),,redmojo7__Linux_Abnormality_v2__e19706371a.txt
sajeelkazmi/PakistanBiggestEcommerceDatasetCleaned,b317af712b7186fa77d4351349126f09488efd6a,cleaning,archived,reachable (HTTP 200),,sajeelkazmi__PakistanBiggestEcommerceDatasetCleaned__b317af712b.txt
commoncrawl/citations-annotated,c896d417fae2a1b1eb4f0b2995bdd346080f4c1a,deduplication,repo-gone,gone (HTTP 401),,commoncrawl__citations-annotated__c896d417fa.txt
Metin/WikiRAG-TR,8bff95e7bccf2427ff573a01c2f84dd168a25c46,column/field add-remove,archived,reachable (HTTP 200),,Metin__WikiRAG-TR__8bff95e7bc.txt
PatrickAi13/batch2_uncleaned_finetune,4f19a81050602f71f1ff8cd1571415651ea24ea9,column/field add-remove,archived,reachable (HTTP 200),,PatrickAi13__batch2_uncleaned_finetune__4f19a81050.txt
f-galkin/batman2,880d96489790dfbf0dde12468e5e11d5a29a36f9,normalize/standardize/encode,archived,reachable (HTTP 200),,f-galkin__batman2__880d964897.txt
AdityaA44/RacepopulationAlabama,42dc866ec9291826f20861e0d8cae7194fd9b1d2,cleaning,archived,reachable (HTTP 200),,AdityaA44__RacepopulationAlabama__42dc866ec9.txt
Hydro69/Sync-Probability,c42c049c964dafe8b44ecbdf65d534e924f1f0bd,rename/split-standardization,archived,reachable (HTTP 200),,Hydro69__Sync-Probability__c42c049c96.txt
MICS-Lab/novae,42dbf59f6057086344d7192a3c7e487f2cba0ce5,column/field add-remove,archived,moved (HTTP 307),prism-oncology/novae,MICS-Lab__novae__42dbf59f60.txt
lllaurenceee/Shopee_Bicycle_Reviews,47f3c1136490cedbd29be436ceca5f9b7bc5274e,deduplication,archived,reachable (HTTP 200),,lllaurenceee__Shopee_Bicycle_Reviews__47f3c11364.txt
Lidon001/cbdata,12ffaf21137db2b0cd82c81be82733e80b0d8531,deduplication,archived,reachable (HTTP 200),,Lidon001__cbdata__12ffaf2113.txt
donb-hf/secondary-screen-dose-response-curve-parameters,c4a359ffbfa36a824c52854c9f5736d810cdbaa5,column/field add-remove,archived,reachable (HTTP 200),,donb-hf__secondary-screen-dose-response-curve-parameters__c4a359ffbf.txt
EspinoFernando/Essays,ee50dcf2abd86c17469866404eef1c0fefec1879,cleaning,archived,reachable (HTTP 200),,EspinoFernando__Essays__ee50dcf2ab.txt
EspinoFernando/Essays,1878049573951522daf8bc7ee4929e2c4214f6c9,cleaning,archived,reachable (HTTP 200),,EspinoFernando__Essays__1878049573.txt
gsarti/qe4pe,200f47f53685fd2e7bcb53c9a6f6a313bb383fbe,column/field add-remove,archived,reachable (HTTP 200),,gsarti__qe4pe__200f47f536.txt
abullard1/steam-reviews-constructiveness-binary-label-annotations-1.5k,81aa3532aa03f95431016f996efb0d3e55e6c6c7,rename/split-standardization,archived,reachable (HTTP 200),,abullard1__steam-reviews-constructiveness-binary-label-annotations-1.5k__81aa3532aa.txt
litagin/Galgame_Dataset_stats,a8ca3a79319eb63fb050a5d7b6ebad7da159795b,column/field add-remove,archived,reachable (HTTP 200),,litagin__Galgame_Dataset_stats__a8ca3a7931.txt
seanvelasco/tiktok-middle-east-conflict-philippines,be60e04f81e43b7c2b10aecfad54c0773ed4b648,column/field add-remove,archived,reachable (HTTP 200),,seanvelasco__tiktok-middle-east-conflict-philippines__be60e04f81.txt
shaily99/eecc,4b466a3047386444212b12cb5de1301ef8aeb6b2,deduplication,archived,reachable (HTTP 200),,shaily99__eecc__4b466a3047.txt
shaily99/eecc,5a12b089562fba9d9458e11e87210c3df9ca2da8,rename/split-standardization,archived,reachable (HTTP 200),,shaily99__eecc__5a12b08956.txt
shaily99/eecc,590a959acac186bee6f3eac7127cb59d71f77dc3,rename/split-standardization,archived,reachable (HTTP 200),,shaily99__eecc__590a959aca.txt
visualcomments/human-agent-conversations,2a82b9753f3e5d2465581eccfd8de1eda94b7dd2,merge,archived,reachable (HTTP 200),,visualcomments__human-agent-conversations__2a82b9753f.txt
agentlans/twitter-sentiment-meta-analysis,947ab3f1d30d2524864e7060b11f6307ec300ade,column/field add-remove,archived,reachable (HTTP 200),,agentlans__twitter-sentiment-meta-analysis__947ab3f1d3.txt
joelkoch/rag_eval,6861dc2788f6c3ef84bcf020a8b8fc82b1db07a8,deduplication,archived,reachable (HTTP 200),,joelkoch__rag_eval__6861dc2788.txt
joelkoch/rag_eval,9d9b906d462be9e5f2926eace7a30a7d5780027e,deduplication,archived,reachable (HTTP 200),,joelkoch__rag_eval__9d9b906d46.txt
launch/FactBench,09fe4799f58c43e3621f6b9c94a0d21f46faa320,column/field add-remove,archived,reachable (HTTP 200),,launch__FactBench__09fe4799f5.txt
newvikova/Mining_WB,188581a96389343e86cd0ea7d44a92f2cd236ce1,merge,archived,reachable (HTTP 200),,newvikova__Mining_WB__188581a963.txt
TeamVioletEdifai/cleanedYelpData,72a88eb0428f75832525f752ec5972561c4dd90c,cleaning,archived,reachable (HTTP 200),,TeamVioletEdifai__cleanedYelpData__72a88eb042.txt
solomonodum/KQA,a943523ee26ec682e2aa0e2ec0e494cced7cfb0a,deduplication,archived,reachable (HTTP 200),,solomonodum__KQA__a943523ee2.txt
Oronto/MLB_DAILY,013afe486ffbf023bf939d14d16a361a4d527296,cleaning,archived,reachable (HTTP 200),,Oronto__MLB_DAILY__013afe486f.txt
tapsilat/PublicTaxDebtorsListOfTurkiye,65fdf70d27fe0c872de20435cd7deacdd9f65801,column/field add-remove,archived,reachable (HTTP 200),,tapsilat__PublicTaxDebtorsListOfTurkiye__65fdf70d27.txt
plawlost/real-estate-data-merged,1ccf6b72721fd77624e75c8d57cd09e1eaf82006,merge,archived,moved (HTTP 307),ycaleb/real-estate-data-merged,plawlost__real-estate-data-merged__1ccf6b7272.txt
VerbACxSS/s-ItaIst,9e8a8811b927e571bda455b07cfa5ad11f6062a6,cleaning,archived,reachable (HTTP 200),,VerbACxSS__s-ItaIst__9e8a8811b9.txt
VerbACxSS/s-ItaIst,dac07ace34d6d2cdb9dd06460b6bbf8bfdd8e28f,cleaning,archived,reachable (HTTP 200),,VerbACxSS__s-ItaIst__dac07ace34.txt
VerbACxSS/s-ItaIst,be0f5fc47eec73ab50847d7b38ae134cbb5b2dde,cleaning,archived,reachable (HTTP 200),,VerbACxSS__s-ItaIst__be0f5fc47e.txt
VerbACxSS/s-ItaIst,c3b7e96f13aa7493f7b3929a45a41d112563ee86,cleaning,archived,reachable (HTTP 200),,VerbACxSS__s-ItaIst__c3b7e96f13.txt
ada-datadruids/merged_movies_books_cleaned,ca99c474cb275252ca1018cba8dde29211093f7a,merge,archived,reachable (HTTP 200),,ada-datadruids__merged_movies_books_cleaned__ca99c474cb.txt
ada-datadruids/TMDB_movie_dataset_reduced,7f295e1c82a4b8b994eb5b5d5dda3c11ddeb1251,column/field add-remove,archived,reachable (HTTP 200),,ada-datadruids__TMDB_movie_dataset_reduced__7f295e1c82.txt
z4fL/mpl_s14_dataset,203eaf04cb3edb7c515c08d189cbc22054f52752,column/field add-remove,archived,reachable (HTTP 200),,z4fL__mpl_s14_dataset__203eaf04cb.txt
naabiil/heart_dataset,c6321d8b91a3a25168237dc38395e1bd942735d6,cleaning,archived,reachable (HTTP 200),,naabiil__heart_dataset__c6321d8b91.txt
BurpBurp1402/NYP_SLLM_P3_Dataset,331483433b6b07d63434b419b9dbdf80f994640d,merge,archived,reachable (HTTP 200),,BurpBurp1402__NYP_SLLM_P3_Dataset__331483433b.txt
Puch/children_movies,1c33bd163cf80626557607fd0c8302da31690b26,merge,archived,reachable (HTTP 200),,Puch__children_movies__1c33bd163c.txt
